MCC	MNC	Brand	Operator
704	01	Claro	Telecomunicaciones de Guatemala, S.A.
704	02	Tigo	Millicom / Local partners
704	03	movistar	Telefónica Móviles Guatemala (Telefónica)
704	?	digicel	Digicel Group
704	?	RED/INTELFON	INTELFON Guatemala
234	03	Airtel-Vodafone	Guernsey Airtel Ltd
234	50	JT	JT Group Limited
234	55	Sure Mobile	Sure (Guernsey) Limited
611	01	Orange	Orange S.A.
611	02	Sotelgui	Sotelgui Lagui
611	03	Telecel Guinee	INTERCEL Guinée
611	04	MTN	Areeba Guinea
611	05	Cellcom	Cellcom
632	01	Guinetel	Guinétel S.A.
632	02	MTN Areeba	Spacetel Guiné-Bissau S.A.
632	03	Orange	
632	07	Guinetel	Guinétel S.A.
738	01	Digicel	U-Mobile (Cellular) Inc.
738	002	GT&T Cellink Plus	Guyana Telephone & Telegraph Co.
738	003		Quark Communications Inc.
738	05		eGovernment Unit, Ministry of the Presidency
372	01	Voila	Communication Cellulaire d'Haiti S.A.
372	02	Digicel	Unigestion Holding S.A.
372	03	Natcom	NATCOM S.A.
708	001	Claro	Servicios de Comunicaciones de Honduras S.A. de C.V.
708	002	Tigo	Celtel
708	030	Hondutel	Empresa Hondureña de Telecomunicaciones
708	040	Digicel	Digicel de Honduras
454	00	1O1O / One2Free / New World Mobility / SUNMobile	CSL Limited
454	01		CITIC Telecom 1616
454	02		CSL Limited
454	03	3	Hutchison Telecom
454	04	3 (2G)	Hutchison Telecom
454	05	3 (CDMA)	Hutchison Telecom
454	06	SmarTone	SmarTone Mobile Communications Limited
454	07	China Unicom	China Unicom (Hong Kong) Limited
454	08	Truphone	Truphone Limited
454	09		China Motion Telecom
454	10	New World Mobility	CSL Limited
454	11		China-Hong Kong Telecom
454	12	CMCC HK	China Mobile Hong Kong Company Limited
454	13	CMCC HK	China Mobile Hong Kong Company Limited
454	14		Hutchison Telecom
454	15		SmarTone Mobile Communications Limited
454	16	PCCW Mobile (2G)	PCCW
454	17		SmarTone Mobile Communications Limited
454	18		CSL Limited
454	19	PCCW Mobile (3G)	PCCW-HKT
454	20	PCCW Mobile (4G)	PCCW-HKT
454	21		21Vianet Mobile Ltd.
454	22		263 Mobile Communications (HongKong) Limited
454	23	Lycamobile	Lycamobile Hong Kong Ltd
454	24		Multibyte Info Technology Ltd
454	25		Hong Kong Government
454	26		Hong Kong Government
454	29	PCCW Mobile (CDMA)	PCCW-HKT
454	30		China Data Enterprises Ltd
454	31	CTExcel	China Telecom Global Limited
454	32		Hong Kong Broadband Network Ltd
454	35		Webbing Hong Kong Ltd
216	01	Telenor Hungary	Telenor Magyarország Zrt.
216	02		MVM Net Ltd.
216	03	DIGI	DIGI Telecommunication Ltd.
216	04		Invitech Solutions
216	30	T-Mobile	Magyar Telekom Plc
216	70	Vodafone	Vodafone Magyarország Zrt.
216	71	upc	UPC Hungary Ltd.
216	99	MAV GSM-R	Magyar Államvasutak
274	01	Síminn	Iceland Telecom
274	02	Vodafone	Og fjarskipti hf
274	03	Vodafone	Og fjarskipti hf
274	04	Viking	IMC Island ehf
274	05		Halló Frjáls fjarskipti hf.
274	06		Núll níu ehf
274	07	IceCell	IceCell ehf
274	08	On-waves	Iceland Telecom
274	11	Nova	Nova ehf
274	12	Tal	IP fjarskipti
274	16		Tismi BV
274	22		Landhelgisgæslan (Icelandic Coast Guard)
274	31	Síminn	Iceland Telecom
404	01	Vodafone India	Haryana
404	02	AirTel	Punjab
404	03	AirTel	Himachal Pradesh
404	04	IDEA	Delhi & NCR
404	05	Vodafone India	Gujarat
404	07	IDEA	Andhra Pradesh and Telangana
404	09	Reliance	Assam
404	10	AirTel	Delhi & NCR
404	11	Vodafone India	Delhi & NCR
404	12	IDEA	Haryana
404	13	Vodafone India	Andhra Pradesh and Telangana
404	14	IDEA	Punjab
404	15	Vodafone India	Uttar Pradesh (East)
404	16	Airtel	North East
404	17	AIRCEL	West Bengal
404	18	Reliance	Himachal Pradesh
404	19	IDEA	Kerala
404	20	Vodafone India	Mumbai
404	21	Loop Mobile	Mumbai
404	22	IDEA	Maharashtra & Goa
404	24	IDEA	Gujarat
404	25	AIRCEL	Bihar
404	27	Vodafone India	Maharashtra & Goa
404	28	AIRCEL	Orissa
404	29	AIRCEL	Assam
404	30	Vodafone India	Kolkata
404	31	AirTel	Kolkata
404	34	cellone	Haryana
404	35	Aircel	Himachal Pradesh
404	36	Reliance	Bihar & Jharkhand
404	37	Aircel	Jammu & Kashmir
404	38	cellone	Assam
404	40	AirTel	Chennai
404	41	Aircel	Chennai
404	42	Aircel	Tamil Nadu
404	43	Vodafone India	Tamil Nadu
404	44	IDEA	Karnataka
404	45	Airtel	Karnataka
404	46	Vodafone India	Kerala
404	48	Dishnet Wireless	Unknown
404	49	Airtel	Andhra Pradesh and Telangana
404	50	Reliance	North East
404	51	cellone	Himachal Pradesh
404	52	Reliance	Orissa
404	53	cellone	Punjab
404	54	cellone	Uttar Pradesh (West)
404	55	cellone	Uttar Pradesh (East)
404	56	IDEA	Uttar Pradesh (West)
404	57	cellone	Gujarat
404	58	cellone	Madhya Pradesh & Chhattisgarh
404	59	cellone	Rajasthan
404	60	Vodafone India	Rajasthan
404	62	cellone	Jammu & Kashmir
404	64	cellone	Chennai
404	66	cellone	Maharashtra & Goa
404	67	Reliance	Madhya Pradesh & Chhattisgarh
404	68	DOLPHIN	Delhi & NCR
404	69	DOLPHIN	Mumbai
404	70	AirTel	Rajasthan
404	71	cellone	Karnataka (Bangalore)
404	72	cellone	Kerala
404	73	cellone	Andhra Pradesh and Telangana
404	74	cellone	West Bengal
404	75	cellone	Bihar
404	76	cellone	Orissa
404	77	cellone	North East
404	78	IDEA	Madhya Pradesh & Chattishgarh
404	79	cellone	Andaman Nicobar
404	80	cellone	Tamil Nadu
404	81	cellone	Kolkata
404	82	IDEA	Himachal Pradesh
404	83	Reliance	Kolkata
404	84	Vodafone India	Chennai
404	85	Reliance	West Bengal
404	86	Vodafone India	Karnataka
404	87	IDEA	Rajasthan
404	88	Vodafone India	Vodafone Punjab
404	89	IDEA	Uttar Pradesh (East)
404	90	AirTel	Maharashtra
404	91	AIRCEL	Kolkata
404	92	AirTel	Mumbai
404	93	AirTel	Madhya Pradesh
404	94	AirTel	Tamil Nadu
404	95	AirTel	Kerala
404	96	AirTel	Haryana
404	97	AirTel	Uttar Pradesh (West)
404	98	AirTel	Gujarat
405	01	Reliance	Andhra Pradesh and Telangana
405	025	TATA DOCOMO	Andhra Pradesh and Telangana
405	026	TATA DOCOMO	Assam
405	027	TATA DOCOMO	Bihar/Jharkhand
405	028	TATA DOCOMO	Chennai
405	029	TATA DOCOMO	Delhi
405	03	Reliance	Bihar
405	030	TATA DOCOMO	Gujarat
405	031	TATA DOCOMO	Haryana
405	032	TATA DOCOMO	Himachal Pradesh
405	033	TATA DOCOMO	Jammu & Kashmir
405	034	TATA DOCOMO	Karnataka
405	035	TATA DOCOMO	Kerala
405	036	TATA DOCOMO	Kolkata
405	037	TATA DOCOMO	Maharashtra & Goa
405	038	TATA DOCOMO	Madhya Pradesh
405	039	TATA DOCOMO	Mumbai
405	04	Reliance	Chennai
405	041	TATA DOCOMO	Orissa
405	042	TATA DOCOMO	Punjab
405	043	TATA DOCOMO	Rajasthan
405	044	TATA DOCOMO	Tamil Nadu including Chennai
405	045	TATA DOCOMO	Uttar Pradesh (E)
405	046	TATA DOCOMO	Uttar Pradesh (W) & Uttarakhand
405	047	TATA DOCOMO	West Bengal
405	05	Reliance	Delhi & NCR
405	06	Reliance	Gujarat
405	07	Reliance	Haryana
405	08	Reliance	Himachal Pradesh
405	09	Reliance	Jammu & Kashmir
405	10	Reliance	Karnataka
405	11	Reliance	Kerala
405	12	Reliance	Kolkata
405	13	Reliance	Maharashtra & Goa
405	14	Reliance	Madhya Pradesh
405	15	Reliance	Mumbai
405	17	Reliance	Orissa
405	18	Reliance	Punjab
405	19	Reliance	Rajasthan
405	20	Reliance	Tamil Nadu
405	21	Reliance	Uttar Pradesh (East)
405	22	Reliance	Uttar Pradesh (West)
405	23	Reliance	West Bengal
405	51	AirTel	West Bengal
405	52	AirTel	Bihar & Jharkhand
405	53	AirTel	Orissa
405	54	AirTel	Uttar Pradesh (East)
405	55	Airtel	Jammu & Kashmir
405	56	AirTel	Assam
405	66	Vodafone India	Uttar Pradesh (West)
405	67	Vodafone India	West Bengal
405	70	IDEA	Bihar & Jharkhand
405	750	Vodafone India	Jammu & Kashmir
405	751	Vodafone India	Assam
405	752	Vodafone India	Bihar & Jharkhand
405	753	Vodafone India	Orissa
405	754	Vodafone India	Himachal Pradesh
405	755	Vodafone India	North East
405	756	Vodafone India	Madhya Pradesh & Chhattisgarh
405	799	IDEA	Mumbai
405	800	AIRCEL	Delhi & NCR
405	801	AIRCEL	Andhra Pradesh and Telangana
405	802	AIRCEL	Gujarat
405	803	AIRCEL	Karnataka
405	804	AIRCEL	Maharashtra & Goa
405	805	AIRCEL	Mumbai
405	806	AIRCEL	Rajasthan
405	807	AIRCEL	Haryana
405	808	AIRCEL	Madhya Pradesh
405	809	AIRCEL	Kerala
405	810	AIRCEL	Uttar Pradesh (East)
405	811	AIRCEL	Uttar Pradesh (West)
405	812	AIRCEL	Punjab
405	819	Uninor	Andhra Pradesh and Telangana
405	818	Uninor	Uttar Pradesh (West)
405	820	Uninor	Karnataka
405	821	Uninor	Kerala
405	822	Uninor	Kolkata
405	824	Videocon Datacom	Assam
405	827	Videocon Datacom	Gujarat
405	834	Videocon Datacom	Madhya Pradesh
405	844	Uninor	Delhi & NCR
405	840	Jio	West Bengal
405	845	IDEA	Assam
405	846	IDEA	Jammu & Kashmir
405	847	IDEA	Karnataka
405	848	IDEA	Kolkata
405	849	IDEA	North East
405	850	IDEA	Orissa
405	851	IDEA	Punjab
405	852	IDEA	Tamil Nadu
405	853	IDEA	West Bengal
405	854	Jio	Andhra Pradesh
405	855	Jio	Assam
405	856	Jio	Bihar
405	857	Jio	Gujarat
405	858	Jio	Haryana
405	859	Jio	Himachal Pradesh
405	860	Jio	Jammu & Kashmir
405	861	Jio	Karnataka
405	862	Jio	Kerala
405	863	Jio	Madhya Pradesh
405	864	Jio	Maharashtra
405	865	Jio	North East
405	866	Jio	Orissa
405	867	Jio	Punjab
405	868	Jio	Rajasthan
405	869	Jio	Tamil Nadu (incl. Chennai)
405	870	Jio	Uttar Pradesh (West)
405	871	Jio	Uttar Pradesh (East)
405	872	Jio	Delhi
405	873	Jio	Kolkata
405	874	Jio	Mumbai
405	875	Uninor	Assam
405	880	Uninor	West Bengal
405	881	S Tel	Assam
405	908	IDEA	Andhra Pradesh and Telangana
405	909	IDEA	Delhi
405	910	IDEA	Haryana
405	911	IDEA	Maharashtra
405	912	Etisalat DB(cheers)	Andhra Pradesh and Telangana
405	913	Etisalat DB(cheers)	Delhi & NCR
405	914	Etisalat DB(cheers)	Gujarat
405	917	Etisalat DB(cheers)	Kerala
405	927	Uninor	Gujarat
405	929	Uninor	Maharashtra
510	00	PSN	PT Pasifik Satelit Nusantara (ACeS)
510	01	Indosat Ooredoo	PT Indonesian Satellite Corporation Tbk (INDOSAT)
510	03	StarOne	PT Indosat Tbk
510	07	TelkomFlexi	PT Telkom
510	08	AXIS	PT Natrindo Telepon Seluler
510	09	Smartfren	PT Smartfren Telecom
510	10	Telkomsel	PT Telekomunikasi Selular
510	11	XL	PT XL Axiata Tbk
510	20	TELKOMMobile	PT Telkom Indonesia Tbk
510	21	IM3	PT Indonesian Satellite Corporation Tbk (INDOSAT)
510	27	Net1	PT Sampoerna Telekomunikasi Indonesia
510	28	Fren/Hepi	PT Mobile-8 Telecom
510	88	BOLT! Super 4G	PT Internux
510	89	3	PT Hutchison CP Telecommunications
510	99	Esia	PT Bakrie Telecom
432	01	Uname	Ertebatat Iran
432	02	Azartel	Azartel Mobile
432	08	Shatel Mobile	Shatel Mobile
432	10	Samantel	Samantel Mobile
432	11	IR-TCI (Hamrah-e-Avval)	Mobile Communications Company of Iran (MCI)
432	12	Avacell(HiWEB)	Dadeh Dostar asr Novin p.j.s. co & Information Technology Company of Iran
432	14	TKC/KFZO	Telecommunication Kish Company
432	19	Espadan (JV-PJS)	Mobile Telecommunications Company of Esfahan
432	20	Rightel	Social Security Investment Co.
432	21	Rightel	Social Security Investment Co.
432	32	Taliya	TCI of Iran and Iran Mobin
432	35	MTN Irancell	MTN Irancell Telecommunications Services Company
432	40	Mobinnet	Ertebatat Mobinnet
432	50	Shatel	Arya Resaneh Tadbir
432	70	MTCE	Telephone Communications Company of Iran
432	71	KOOHE NOOR	Telephone Communications Company of Iran
432	90	Iraphone	IRAPHONE GHESHM of Iran
432	93	Iraphone	Iraphone
432	99	TCI (GSM WLL)	TCI of Iran and Rightel
418	00	Asia Cell	Asia Cell Telecommunications Company
418	05	Asia Cell	Asia Cell Telecommunications Company
418	08	SanaTel	
418	20	Zain	Zain Iraq
418	30	Zain	Zain Iraq
418	40	Korek	Telecom Ltd
418	45	Mobitel	Mobitel Co. Ltd.
418	62	Itisaluna	Itisaluna Wireless CO.
418	92	Omnnea	Omnnea Wireless
272	01	Vodafone	Vodafone Ireland
272	02	3	Hutchison 3G Ireland limited
272	03	Eir	Eir Group plc
272	04		Access Telecom
272	05	3	Hutchison 3G Ireland limited
272	07	Eir	Eir Group plc
272	08	Eir	Eir Group plc
272	09		Clever Communications Ltd.
272	11	Tesco Mobile	Liffey Telecom
272	13	Lycamobile	Lycamobile
272	15	Virgin Mobile	UPC
272	16	Carphone Warehouse	Carphone Warehouse
272	17	3	Hutchison 3G Ireland limited
234	18	Cloud 9 Mobile	Cloud 9 Mobile Communications PLC
234	36	Sure Mobile	Sure Isle of Man Ltd.
234	58	Pronto GSM	Manx Telecom
425	01	Partner	Partner Communications Company Ltd.
425	02	Cellcom	Cellcom Israel Ltd.
425	03	Pelephone	Pelephone Communications Ltd.
425	04		Globalsim Ltd
425	05	Jawwal	Palestine Cellular Communications Ltd.
425	06	Wataniya Mobile	Wataniya Palestine Ltd. (Ooredoo)
425	07	Hot Mobile	Hot Mobile Ltd.
425	08	Golan Telecom	Golan Telecom Ltd
425	09	018 Xphone	Marathon 018 Xphone Ltd.
425	11		365 Telecom
425	12		Free Telecom
425	13		Ituran Cellular Communications
425	14	Youphone	Alon Cellular Ltd.
425	15	Home Cellular	Home Cellular
425	16	Rami Levy	Rami Levy Communications Ltd.
425	17	Sipme	Gale Phone
425	18	Cellact Communications	Cellact Communications Ltd.
425	19	Telzar 019	Azi Communications Ltd.
425	20	Bezeq	Bezeq The Israeli Telecommunication Corp Ltd.
425	21	Bezeq International	B.I.P. Communications Ltd.
425	23		Beezz Communication Solutions Ltd.
425	24	012 Telecom	Partner Communications Company Ltd.
425	25	IMOD	Israel Ministry of Defense
425	26		LB Annatel Ltd.
425	28		PHI Networks
425	29		CG Networks
222	01	TIM	Telecom Italia S.p.A
222	02	Elsacom	
222	04	Intermatica	
222	05	Telespazio	
222	06	Vodafone	Vodafone Italia S.p.A.
222	07	Nòverca	Nòverca Italia
222	08	Fastweb	Fastweb S.p.A.
222	10	Vodafone	Vodafone Italia S.p.A.
222	30	RFI	Rete Ferroviaria Italiana
222	33	Poste Mobile	Poste Mobile S.p.A.
222	34	BT Italia	British Telecom Italia
222	35	Lycamobile	Lycamobile
222	36	Digi Mobil	Digi Italy S.r.l.
222	37	3 Italia	H3G S.p.A.
222	38	LINKEM	Linkem S.p.A.
222	39	SMS Italia	SMS Italia S.r.l.
222	43	TIM	Telecom Italia S.p.A.
222	48	TIM	Telecom Italia S.p.A.
222	50	Iliad	Iliad Italia
222	77	IPSE 2000	
222	88	Wind	Wind Telecomunicazioni S.p.A.
222	98	BLU	BLU S.p.A.
222	99	3 Italia	H3G S.p.A.
612	01		Cora de Comstar
612	02	Moov	Atlantique Cellulaire
612	03	Orange	Orange
612	04	KoZ	Comium Ivory Coast Inc
612	05	MTN	Loteny Telecom
612	06	GreenN	Oricel
612	07	café	Aircomm
612	18		YooMee
338	020	FLOW	LIME (Cable & Wireless)
338	040	Caricel	Symbiote Investment Limited
338	050	Digicel	Digicel (Jamaica) Limited
338	070	Claro	Oceanic Digital Jamaica Limited
338	110	FLOW	Cable & Wireless Communications
338	180	FLOW	Cable & Wireless Communications
440	00	Y!Mobile	SoftBank Corp.
440	01	UQ WiMAX	UQ Communications Inc.
440	02		Hanshin Cable Engineering Co., Ltd.
440	03	IIJmio	Internet Initiative Japan Inc.
440	04		Japan Radio Company, Ltd.
440	05		Wireless City Planning Inc.
440	06		SAKURA Internet Inc.
440	07		LTE-X, Inc.
440	10	NTT docomo	NTT DoCoMo, Inc.
440	20	SoftBank	SoftBank Corp.
440	21	SoftBank	SoftBank Corp.
440	50	au	KDDI Corporation
440	51	au	KDDI Corporation
440	52	au	KDDI Corporation
440	53	au	KDDI Corporation
440	54	au	KDDI Corporation
440	70	au	KDDI Corporation
440	71	au	KDDI Corporation
440	72	au	KDDI Corporation
440	73	au	KDDI Corporation
440	74	au	KDDI Corporation
440	75	au	KDDI Corporation
440	76	au	KDDI Corporation
440	78	au	Okinawa Cellular Telephone
440	91		Tokyo Organising Committee of the Olympic and Paralympic Games
441	00		Wireless City Planning Inc.
441	01	SoftBank	SoftBank Corp.
441	10	UQ WiMAX	UQ Communications Inc.
234	03	Airtel-Vodafone	Jersey Airtel Limited
234	28		Marathon Telecom Limited
234	50	JT	JT Group Limited
234	55	Sure Mobile	Sure (Jersey) Limited
416	01	zain JO	Jordan Mobile Telephone Services
416	02	XPress Telecom	XPress Telecom
416	03	Umniah	Umniah Mobile Company
416	77	Orange	Petra Jordanian Mobile Telecommunications Company (MobileCom)
401	01	Beeline	KaR-Tel LLP
401	02	Kcell	Kcell JSC
401	07	Altel	Altel
401	08	Kazakhtelecom	
401	77	Tele2.kz	MTS
639	01	Safaricom	Safaricom Limited
639	02	Safaricom	Safaricom Limited
639	03	Airtel	Bharti Airtel
639	04		Mobile Pay Kenya Limited
639	05	yu	Essar Telecom Kenya
639	06		Finserve Africa Limited
639	07	Telkom	Telkom Kenya
639	08		Sema Mobile Services Limited
639	09		Homeland Media Group Limited
639	10	Faiba 4G	Jamii Telecommunications Limited
639	11		WiAfrica Kenya Limited
545	01	Kiribati - TSKL	Telecom Services Kiribati Ltd
545	02		OceanLink
545	09	Kiribati - Frigate Net	Telecom Services Kiribati Ltd
467	05	Koryolink	Cheo Technology Jv Company
467	06	Koryolink	Cheo Technology Jv Company
467	193	SunNet	Korea Posts and Telecommunications Corporation
450	01		Globalstar Asia Pacific
450	02	KT	KT
450	03	Power 017	Shinsegi Telecom, Inc.
450	04	KT	KT
450	05	SKTelecom	SK Telecom
450	06	LG U+	LG Telecom
450	07	KT	KT
450	08	olleh	KT
450	11		Korea Cable Telecom
450	12	SKTelecom	SK Telecom
221	01	Vala	Telecom of Kosovo J.S.C.
221	02	IPKO	IPKO
221	06	Z Mobile	Dardaphone.Net LLC
419	02	zain KW	Zain Kuwait
419	03	K.S.C Ooredoo	National Mobile Telecommunications
419	04	Viva	Kuwait Telecommunication Company
437	01	Beeline	Sky Mobile LLC
437	03	Fonex	Aktel Ltd
437	05	MegaCom	Alfa Telecom CJSC
437	09	O!	NurTelecom LLC
457	01	LaoTel	Lao Telecom
457	02	ETL	Enterprise of Telecommunications Lao
457	03	Unitel	Star Telecom Co., Ltd
457	08	Beeline	VimpelCom Lao Ltd
247	01	LMT	Latvian Mobile Telephone
247	02	Tele2	Tele2
247	03	TRIATEL	Telekom Baltija
247	04		Beta Telecom
247	05	Bite	Bite Latvija
247	06		Rigatta
247	07		SIA MEGATEL
247	08	IZZI	IZZI
247	09	Xomobile	Camel Mobile
415	01	Alfa	MIC 1
415	03	Touch	MIC 2
415	05	Ogero Mobile	Ogero Telecom
651	01	Vodacom	Vodacom Lesotho (Pty) Ltd
651	02	Econet Telecom	Econet Ezi-cel
618	01	Lonestar Cell	Lonestar Communications Corporation
618	02	Libercell	Atlantic Wireless (Liberia) Inc.
618	04	Novafone	Novafone Inc.
618	07	Orange LBR	Orange Liberia
618	20	LIBTELCO	Liberia Telecommunications Corporation
606	00	Libyana	Libyana
606	01	Madar	Al-Madar Al-Jadeed
606	02	Al-Jeel Phone	Al-Jeel Al-Jadeed
606	03	Libya Phone	Libya Telecom & Technology (LTT)
606	06	Hatef Libya	Hatef Libya
295	01	Swisscom	Swisscom Schweiz AG
295	02	7acht	Salt Liechtenstein AG
295	05	FL1	Telecom Liechtenstein AG
295	06	Cubic Telecom	Cubic Telecom AG
295	07		First Mobile AG
295	09		EMnify GmbH
295	10		Soracom LI Ltd.
295	77	Alpmobil	Alpcom AG
246	01	Telia	Telia Lietuva
246	02	BITĖ	UAB Bitė Lietuva
246	03	Tele2	UAB Tele2 (Tele2 AB, Sweden)
246	04		LR vidaus reikalų ministerija (Ministry of the Interior)
246	05	LitRail	Lietuvos geležinkeliai (Lithuanian Railways)
246	06	Mediafon	UAB Mediafon
246	07		Compatel Ltd.
246	08	MEZON	Lietuvos radijo ir televizijos centras
246	09		Interactive Digital Media GmbH
270	01	POST	POST Luxembourg
270	02		MTX Connect S.a.r.l.
270	07		Bouygues Telecom S.A.
270	10		Blue Communications
270	77	Tango	Tango SA
270	78		Interactive digital media GmbH
270	79		Mitto A.G.
270	80		Syniverse Technologies S.à r.l.
270	81		E-Lux Mobile Telecommunication S.A.
270	99	Orange	Orange S.A.
455	00	SmarTone	Smartone – Comunicações Móveis, S.A.
455	01	CTM	Companhia de Telecomunicações de Macau, S.A.R.L.
455	02	China Telecom	China Telecom (Macau) Company Limited
455	03	3	Hutchison Telephone (Macau), Limitada
455	04	CTM	Companhia de Telecomunicações de Macau, S.A.R.L.
455	05	3	Hutchison Telephone (Macau), Limitada
455	06	SmarTone	Smartone – Comunicações Móveis, S.A.
455	07	China Telecom	China Telecom (Macau) Limitada
294	01	Telekom.mk	Makedonski Telekom
294	02	vip	ONE.VIP DOO
294	03	vip	ONE.VIP DOO
294	04	Lycamobile	Lycamobile LLC
294	10		WTI Macedonia
294	11		MOBIK TELEKOMUNIKACII DOOEL Skopje
646	01	Airtel	Bharti Airtel
646	02	Orange	Orange Madagascar S.A.
646	03	Sacel	Sacel Madagascar S.A.
646	04	Telma	Telma Mobile S.A.
650	01	TNM	Telecom Network Malawi
650	02	Access	Access Communications Ltd
650	10	Airtel	Bharti Airtel Limited
502	01	ATUR 450	Telekom Malaysia Bhd
502	10		Maxis, DiGi, Celcom, XOX
502	11	TM Homeline	Telekom Malaysia Bhd
502	12	Maxis	Maxis Communications Berhad
502	13	Celcom	Celcom Axiata Berhad
502	14		Telekom Malaysia Berhad for PSTN SMS
502	150	Tune Talk	Tune Talk Sdn Bhd
502	151	SalamFone	Baraka Telecom Sdn Bhd
502	152	Yes	YTL Communications Sdn Bhd
502	153	unify	Webe Digital Sdn Bhd
502	154	Tron	Talk Focus Sdn Bhd
502	155	Clixster	Clixster Mobile Sdn Bhd
502	156	Altel	Altel Communications Sdn Bhd
502	157	Telin	Telekomunikasi Indonesia International (M) Sdn Bhd
502	16	DiGi	DiGi Telecommunications
502	17	Maxis	Maxis Communications Berhad
502	18	U Mobile	U Mobile Sdn Bhd
502	19	Celcom	Celcom Axiata Berhad
502	20	Electcoms	Electcoms Berhad
472	01	Dhiraagu	Dhivehi Raajjeyge Gulhun
472	02	Ooredoo	Wataniya Telecom Maldives
610	01	Malitel	Malitel SA
610	02	Orange	Orange Mali SA
610	03	ATEL-SA	Alpha Telecommunication Mali S.A.
278	01	Vodafone	Vodafone Malta
278	11		YOM Ltd.
278	21	GO	Mobile Communications Limited
278	30	GO	Mobile Communications Limited
278	77	Melita	Melita
551	01		Marshall Islands National Telecommunications Authority (MINTA)
609	01	Mattel	Mattel
609	02	Chinguitel	Chinguitel
609	10	Mauritel	Mauritel Mobiles
617	01	my.t	Cellplus Mobile Communications Ltd.
617	02	MOKOZE / AZU	Mahanagar Telephone Mauritius Limited (MTML)
617	03	CHILI	Mahanagar Telephone Mauritius Limited (MTML)
617	10	Emtel	Emtel Ltd.
334	001		Comunicaciones Digitales Del Norte, S.A. de C.V.
334	010	AT&T	AT&T Mexico
334	020	Telcel	América Móvil
334	030	Movistar	Telefónica
334	040	Unefon	AT&T Mexico
334	050	AT&T / Unefon	AT&T Mexico
334	060		Servicios de Acceso Inalambrico, S.A. de C.V.
334	066		Telefonos de México, S.A.B. de C.V.
334	070	Unefon	AT&T Mexico
334	080	Unefon	AT&T Mexico
334	090	AT&T	AT&T Mexico
334	140	Altan Redes	Altán Redes S.A.P.I. de C.V.
550	01		FSMTC
259	01	Orange	Orange Moldova
259	02	Moldcell	
259	03	IDC	Interdnestrcom
259	03	Unité	Moldtelecom
259	04	Eventis	Eventis Telecom
259	05	Unité	Moldtelecom
259	15	IDC	Interdnestrcom
259	99	Unité	Moldtelecom
212	10	Office des Telephones	Monaco Telecom
428	88	Unitel	Unitel LLC
428	91	Skytel	Skytel LLC
428	98	G-Mobile	G-Mobile LLC
428	99	Mobicom	Mobicom Corporation
297	01	Telenor	Telenor Montenegro
297	02	T-Mobile	T-Mobile Montenegro LLC
297	03	m:tel CG	MTEL CG
354	860	FLOW	Cable & Wireless
604	00	Orange Morocco	Médi Télécom
604	01	IAM	Ittissalat Al-Maghrib (Maroc Telecom)
604	02	INWI	Wana Corporate
604	04		Al Houria Telecom
604	05	INWI	Wana Corporate
604	06	IAM	Ittissalat Al-Maghrib (Maroc Telecom)
604	99		Al Houria Telecom
643	01	mCel	Mocambique Celular S.A.
643	03	Movitel	Movitel, SA
643	04	Vodacom	Vodacom Mozambique, S.A.
414	00	MPT	Myanmar Posts and Telecommunications
414	01	MPT	Myanmar Posts and Telecommunications
414	02	MPT	Myanmar Posts and Telecommunications
414	03	CDMA800	Myanmar Economic Corporation
414	04	MPT	Myanmar Posts and Telecommunications
414	05	Ooredoo	Ooredoo Myanmar
414	06	Telenor	Telenor Myanmar
414	09	Mytel	Myanmar National Tele & Communication Co., Ltd
414	20	ACS	Amara Communication Co.,Ltd
414	21	ACS	Amara Communication Co.,Ltd
649	01	MTC	MTC Namibia
649	02	switch	Telecom Namibia
649	03	TN Mobile	Telecom Namibia
649	04		Paratus Telecommunications (Pty)
649	05		Demshi Investments CC
536	02	Digicel	Digicel (Nauru) Corporation
429	01	Namaste / NT Mobile / Sky Phone	Nepal Telecom (NDCL)
429	02	Ncell	Ncell Pvt. Ltd.
429	03	UTL	United Telecom Limited
429	04	SmartCell	Smart Telecom Pvt. Ltd. (STPL)
204	01		RadioAccess Network Services
204	02	Tele2	Tele2 Nederland B.V.
204	03	Voiceworks	Voiceworks B.V.
204	04	Vodafone	Vodafone Libertel B.V.
204	05		Elephant Talk Communications Premium Rate Services
204	06	Vectone Mobile	Mundio Mobile (Netherlands) Ltd
204	07		Teleena (MVNE)
204	08	KPN	KPN Mobile The Netherlands B.V.
204	09	Lycamobile	Lycamobile Netherlands Limited
204	10	KPN	KPN B.V.
204	11		VoipIT B.V.
204	12	Telfort	KPN Mobile The Netherlands B.V.
204	13		Unica Installatietechniek B.V.
204	14		6GMOBILE B.V.
204	15	Ziggo	Ziggo B.V.
204	16	T-Mobile (BEN)	T-Mobile Netherlands B.V
204	17	Intercity Zakelijk	Intercity Mobile Communications B.V.
204	18	upc	UPC Nederland B.V.
204	19		Mixe Communication Solutions B.V.
204	20	T-Mobile	T-Mobile Netherlands B.V
204	21		ProRail B.V.
204	22		Ministerie van Defensie
204	23		Wyless Nederland B.V.
204	24		Private Mobility Nederland B.V.
204	25		CapX B.V.
204	26		SpeakUp B.V.
204	27		Breezz Nederland B.V.
204	28		Lancelot B.V.
204	29		Private Mobile Ltd
204	60		Nextgen Mobile Ltd
204	61		BodyTrace Netherlands B.V.
